id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,gamma,beta,alpha_transformed,gamma_transformed,beta_transformed,alpha_ffx,gamma_ffx,beta_ffx,alpha_transformed_ffx,gamma_transformed_ffx,beta_transformed_ffx
215211,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-852.5358426,-845.8250541,-848.8250541,-854.0460125,0.030238729,-0.181048685,2.058580326,2.641566908,0.454861061,0.886811745,14.03517822,-0.11057132,1.288120736,2.679018944,0.472385299,0.783828934,14.57079151
215537,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-619.6172667,-612.6526955,-615.6526955,-620.8736539,0.12088343,-0.156936064,2.203584292,1.967162186,0.46084631,0.900570919,7.150356287,-0.04430061,1.384222672,2.001928687,0.488926658,0.799668323,7.403321029
215622,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-765.0417274,-757.8423104,-760.8423104,-766.0632688,0.054171392,-0.29213203,0.2470072,2.677447089,0.427481991,0.561439734,14.54790634,-0.329042972,0.320588431,2.652741806,0.418473501,0.57946765,14.19289953
216011,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-844.7067587,-838.6048653,-841.6048653,-846.8258237,0.023741547,0.569097678,1.90010917,2.831525669,0.638554943,0.86990388,16.97133372,0.612580169,1.364504109,2.847599469,0.648529148,0.796490758,17.24633176
216028,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-865.709493,-858.3367121,-861.3367121,-866.5576705,0.01549559,-1.304067149,-1.617266698,3.016054419,0.213481319,0.165582172,20.41060093,-1.396329836,-1.079682903,2.874341486,0.198399158,0.25356603,17.71375552
216806,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-728.2105688,-721.4236263,-724.4236263,-729.6445847,0.089165466,1.159460872,1.205848119,2.459949427,0.761234738,0.769563497,11.7042196,1.155832228,1.04702641,2.459146169,0.760574584,0.740203479,11.69482188
216845,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-913.4277415,-906.9603156,-909.9603156,-915.181274,0.006773655,-3.648330981,1.291444212,2.207258612,0.025373947,0.784391536,9.0907609,-2.96819635,0.644975098,2.451172449,0.048883514,0.65587722,11.60194143
217008,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-940.1815005,-938.3519804,-941.3519804,-946.5729388,7.33E-05,0.190275382,0.457520274,4.713686959,0.547425845,0.612425751,111.4623604,-0.526389394,0.752847139,3.82725207,0.371359398,0.67979876,45.93613533
217173,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-815.1573438,-806.9506967,-809.9506967,-815.1716551,0.032887673,-2.719454519,-0.624927834,2.170784209,0.061835104,0.348661524,8.76515506,-2.672345829,-0.478886555,2.142812018,0.064625022,0.382515084,8.52337184
218219,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-880.192702,-873.2679531,-876.2679531,-881.4889115,0.011539047,1.632810588,-2.809230836,3.651109651,0.836554297,0.056827393,38.51738319,0.064193892,-2.070533172,3.41372318,0.516042964,0.111994004,30.37813725
